# Batch size, crossed with the optimizer
id,net,hidden,output,init,opt,loss,batch,eta,lambda,alpha,beta1
0,128-128-128-128-128,relu,linear,he,adam,mse,0,0.003,1e-3,0.0,0.9
1,128-128-128-128-128,relu,linear,he,adam,mse,128,0.003,1e-3,0.0,0.9
2,128-128-128-128-128,relu,linear,he,adam,mse,32,0.003,1e-3,0.0,0.9
3,128-128-128-128-128,relu,linear,he,adam,mse,8,0.003,1e-3,0.0,0.9
4,128-128-128-128-128,relu,linear,he,sgd,mse,0,0.2,1e-3,0.9,0.9
5,128-128-128-128-128,relu,linear,he,sgd,mse,128,0.2,1e-3,0.9,0.9
6,128-128-128-128-128,relu,linear,he,sgd,mse,32,0.2,1e-3,0.9,0.9
