id,net,hidden,output,init,opt,loss,norm,batch,eta,lambda,dropout,alpha,beta
120,96-48-24,tanh,linear,glorot,adam,mse,zscore,0,0.001,0.002,0,0.9,0.999
121,96-48-24,tanh,linear,glorot,adam,mse,zscore,0,0.001,0.002,0,0.95,0.999
122,96-48-24,tanh,linear,glorot,adam,mse,zscore,0,0.001,0.002,0,0.9,0.995
123,128-128-128-128,relu,linear,lecun,adam,mse,minmax,0,0.0009,0.001,0,0.9,0.999
124,128-128-128-128,relu,linear,lecun,adam,mse,minmax,0,0.0009,0.001,0,0.95,0.999
125,128-128-128-128,relu,linear,lecun,adam,mse,minmax,0,0.0009,0.001,0,0.9,0.995
126,128-128-128-128-128,relu,linear,lecun,adam,mse,minmax,0,0.001,0.001,0,0.9,0.999
127,128-128-128-128-128,relu,linear,lecun,adam,mse,minmax,0,0.001,0.001,0,0.95,0.999
128,128-128-128-128-128,relu,linear,lecun,adam,mse,minmax,0,0.001,0.001,0,0.9,0.995
