id,net,hidden,output,init,opt,loss,norm,batch,eta,lambda,dropout,alpha,beta
0,32-16,tanh,linear,glorot,adam,mse,zscore,0,0.001,0.001,0,0.9,0.999
1,32-16,relu,linear,he,adam,mse,minmax,0,0.001,0.001,0,0.9,0.999
2,64-32,tanh,linear,glorot,adam,mse,zscore,0,0.001,0.001,0,0.9,0.999
3,64-32,relu,linear,he,adam,mse,minmax,0,0.001,0.001,0,0.9,0.999
4,96-48-24,tanh,linear,glorot,adam,mse,zscore,0,0.001,0.002,0,0.9,0.999
5,96-48-24,relu,linear,he,adam,mse,minmax,0,0.001,0.001,0,0.9,0.999
6,128-64-32,tanh,linear,glorot,adam,mse,zscore,0,0.001,0.002,0,0.9,0.999
7,128-64-32,relu,linear,he,adam,mse,minmax,0,0.001,0.001,0,0.9,0.999
